count_head,blink,aware,shouting,silent
196,7,21,25,6
63,18,4,14,8
62,23,8,25,12
229,0,4,14,5
36,17,3,16,15
3,11,16,12,17
12,11,9,28,16
48,8,12,9,11
259,12,6,41,6
10,16,13,22,10
56,0,3,46,16
5,0,3,18,12
59,5,17,15,9
13,2,12,30,10
23,2,11,3,19
68,16,16,27,15
85,13,11,28,18
137,12,9,6,17
17,14,26,15,9
117,0,14,13,15
23,0,7,29,13
54,6,5,31,9
60,0,4,15,18
16,0,2,14,19
97,0,7,23,21
149,0,8,25,8
110,0,0,38,17
103,0,11,27,16
33,25,9,12,9
27,8,10,13,14
67,7,15,28,8
77,13,5,8,9
78,7,9,16,3
77,11,12,11,10
81,15,14,23,17
67,16,13,29,14
63,25,20,33,11
158,10,7,17,11
15,24,4,15,11
187,36,39,32,7
140,0,1,10,10
5,8,8,22,4
5,7,14,10,14
142,7,0,5,5
48,0,8,18,7
226,0,1,29,3
13,0,1,11,9
175,36,40,16,12
12,34,41,26,20
9,13,14,23,18
5,0,3,10,8
165,0,1,19,18
6,14,7,34,11
3,6,1,22,9
8,0,4,8,3
13,6,11,11,15
3,5,24,21,3
47,13,13,17,6
88,5,11,0,0
66,30,42,27,22
86,34,27,31,11
38,9,13,36,11
68,22,28,42,24
122,19,28,19,10
90,9,6,35,9
70,14,11,19,13
32,21,21,27,10
10,22,12,23,13
71,2,13,30,18
73,18,33,26,12
70,4,13,37,13
71,8,7,13,11
110,11,7,39,13
3,11,12,15,16
123,0,1,10,6
55,0,0,16,6
185,48,56,18,15
40,0,0,12,10
43,26,7,4,8
1,16,9,6,3
1,42,42,16,4
82,0,2,2,0
24,0,0,21,9
147,5,16,29,21
68,8,3,16,12
157,0,2,5,9
166,31,39,18,20
180,0,0,7,4
232,0,1,33,20
50,0,5,27,8
127,45,41,37,4
143,0,0,14,1
14,0,7,30,9
43,5,3,32,24
164,5,18,29,17
152,7,5,40,21
58,3,8,23,14
183,11,0,22,6
155,42,54,19,15
171,0,1,23,8
134,45,35,23,6
56,36,49,13,11
47,0,1,58,15
